Trial Number,Timestamp,Message ID,PDO Label,DLC,Flags,Status word,Actual speed,RMS motor Current,DC Bus Voltage,Internal Speed Reference,Reference Torque,Actual Torque,Field weakening control: voltage angle,Field weakening control: regulator status,Current limit: actual limit type,Motor voltage control: U peak normalized,Digital status word,Scaled throttle percent,Motor voltage control: idLimit,Motor voltage control: Idfiltered,Actual currents: iq,Motor measurements: DC bus current
21,1,390,PDO1,8,0,33552,1024,0,-12524,,,,,,,,,,,,,
21,2,390,PDO1,8,0,34576,-24320,2560,-11500,,,,,,,,,,,,,
21,2,646,PDO2,8,0,,,,,-257,0,0,0,,,,,,,,,
21,2,902,PDO3,8,0,,,,,,,,,0,0,2560,16632,0,,,,
21,4,646,PDO2,8,0,,,,,21759,-1793,-2817,0,,,,,,,,,
21,4,902,PDO3,8,0,,,,,,,,,0,0,-20734,16888,12032,,,,
21,4,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,-3841,0
21,14,390,PDO1,8,0,34576,-23552,2048,-12012,,,,,,,,,,,,,
21,14,646,PDO2,8,0,,,,,21759,-1537,-2049,0,,,,,,,,,
21,15,902,PDO3,8,0,,,,,,,,,0,0,29186,16888,12544,,,,
21,15,1158,PDO4,8,0,,,,,,,,,,,,,,1280,-257,-3329,0
21,35,390,PDO1,8,0,34576,-24320,1280,-11500,,,,,,,,,,,,,
21,35,646,PDO2,8,0,,,,,21759,-1793,-1025,0,,,,,,,,,
21,35,902,PDO3,8,0,,,,,,,,,0,0,32003,16888,12032,,,,
21,36,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,-513,0
21,55,390,PDO1,8,0,34576,-22528,1792,-12012,,,,,,,,,,,,,
21,55,646,PDO2,8,0,,,,,21759,-1537,-1793,0,,,,,,,,,
21,55,902,PDO3,8,0,,,,,,,,,0,0,-18942,16888,11776,,,,
21,57,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,-2049,0
21,76,390,PDO1,8,0,34576,-22784,1536,-12012,,,,,,,,,,,,,
