Trial Number,Timestamp,Message ID,PDO Label,DLC,Flags,Status word,Actual speed,RMS motor Current,DC Bus Voltage,Internal Speed Reference,Reference Torque,Actual Torque,Field weakening control: voltage angle,Field weakening control: regulator status,Current limit: actual limit type,Motor voltage control: U peak normalized,Digital status word,Scaled throttle percent,Motor voltage control: idLimit,Motor voltage control: Idfiltered,Actual currents: iq,Motor measurements: DC bus current
15,8,390,PDO1,8,0,33552,0,0,-9964,,,,,,,,,,,,,
15,8,646,PDO2,8,0,,,,,-513,0,0,0,,,,,,,,,
15,8,902,PDO3,8,0,,,,,,,,,0,0,0,16888,0,,,,
15,10,1158,PDO4,8,0,,,,,,,,,,,,,,0,0,0,0
15,11,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,12,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,13,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,13,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,24,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,26,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,28,390,PDO1,8,0,33552,-1025,0,-9964,,,,,,,,,,,,,
15,28,646,PDO2,8,0,,,,,256,0,0,0,,,,,,,,,
15,28,902,PDO3,8,0,,,,,,,,,0,0,0,16888,0,,,,
15,29,1158,PDO4,8,0,,,,,,,,,,,,,,0,0,0,0
15,31,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,31,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,48,390,PDO1,8,0,33552,-257,0,-9964,,,,,,,,,,,,,
15,48,646,PDO2,8,0,,,,,-1,0,0,0,,,,,,,,,
15,48,902,PDO3,8,0,,,,,,,,,0,0,0,16888,0,,,,
15,50,1158,PDO4,8,0,,,,,,,,,,,,,,0,0,0,0
15,62,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,63,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,63,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,65,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,69,390,PDO1,8,0,34576,2048,512,-7404,,,,,,,,,,,,,
15,69,646,PDO2,8,0,,,,,0,0,0,0,,,,,,,,,
15,69,902,PDO3,8,0,,,,,,,,,0,0,26880,16888,0,,,,
15,70,1158,PDO4,8,0,,,,,,,,,,,,,,1280,256,0,0
15,75,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,77,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,77,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,79,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,82,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,83,1414,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
15,89,390,PDO1,8,0,34576,0,768,-6892,,,,,,,,,,,,,
15,90,646,PDO2,8,0,,,,,-1,0,0,0,,,,,,,,,
15,90,902,PDO3,8,0,,,,,,,,,0,0,24576,16888,0,,,,
15,90,1158,PDO4,8,0,,,,,,,,,,,,,,1280,0,0,0
15,92,1542,Unknown PDO,8,0,,,,,,,,,,,,,,,,,
